ean,codigo,descricao,quant. imagens,importado
7897146100045,1497744,VINHO GAUCHO  SUAVE TINTO 750ML,0,Sim
7898010000000,1030253,VINHO PADRE CICERO 890ML,0,Sim
7898012860629,932381,VINHO PADRE CICERO 890ML,1,Sim
80646,731396,VINHO PERGOLA TINTO SECO 1L ,0,Sim
80647,1488037,VINHO PERGOLA TINTO SECO 750ML,0,Sim
54059,1497755,VINHO PERGOLA TINTO SUAVE 1L ,0,Sim
7896855901417,417663,VINHO PERGOLA TINTO SUAVE 1L ,9,Sim
54187,1497757,VINHO PERGOLA TINTO SUAVE 750ML,0,Sim
41032,1306976,VINHO QUINTA DO MORGADO BCO SECO 750ML,1,Sim
41030,1292393,VINHO QUINTA DO MORGADO BCO SUAVE 750ML,1,Sim
42211,1000403,VINHO QUINTA DO MORGADO SUAVE T. 245ML*,1,Sim
24531,1497762,VINHO QUINTA DO MORGADO SUAVE TINT 750ML,0,Sim
41031,1277831,VINHO QUINTA DO MORGADO TTO SECO 750ML,1,Sim
77649,1497765,VINHO QUINTA REAL  900ML,0,Sim
7804320000000,1488822,VINHO RESERVADO CARMENERE 750ML***,0,Sim
7898251890357,1358356,VINHO SAO BRAZ 900ML,1,Sim
76897,1497768,VINHO SAO BRAZ PINK 900ML,0,Sim
7898250000000,1489084,VINHO SAO BRAZ PINK 900ML,0,Sim
6896,1497770,VINHO SAO FRANCISCO 880ML,0,Sim
7897150000000,1489013,VINHO SAO FRANCISCO 880ML,0,Sim
7898925385011,903850,VINHO VALE REAL SUAVE TINTO 900ML,1,Sim
7895270000000,1488909,VITAMINA C 1G+ZINCO C/30 COMP *GLOBO,0,Sim
7891050000000,1488840,VODKA MONTILLA 1L,0,Sim
7891050000903,417796,VODKA ORLOFF 1L,13,Sim
54779,1497774,VODKA PALOFF 980ML,0,Sim
7898012860537,715851,VODKA SLOVA 980ML,3,Sim
47559,744752,VODKA SLOVA BLUEBERRY 980ML,5,Sim
48892,1497778,VODKA SLOVA FRUTAS VERM. 965ML,0,Sim
49267,1497780,VODKA SLOVA KIWI 980ML,0,Sim
7898012860407,914401,VODKA SLOVA LIMAO 965ML,9,Sim
48893,1010483,VODKA SLOVA MARACUJA 965ML ,0,Sim
41423,1497784,VODKA SMIRNOFF  1LT,0,Sim
6901,1497786,VODKA SMIRNOFF ICE RED 275ML,0,Sim
7893220000000,1030829,VODKA SMIRNOFF ICE RED 275ML,0,Sim
5010110000000,1488778,WHISKY BALLANTINE'S FINEST 750ML,0,Sim
50196081,475062,WHISKY BLACK E WHITE 1L,12,Sim
7799,1126993,WHISKY BLACK E WHITE 1L,0,Sim
50196135,884821,WHISKY BLACK E WHITE 700ML***,18,Sim
50196364,466411,WHISKY BUCHANAN'S 12ANOS 1L ,12,Sim
6907,1497792,WHISKY CAVALO BRANCO 1L ,0,Sim
690700,1497790,WHISKY CAVALO BRANCO 1L ,0,Sim
80432400395,272956,WHISKY CHIVAS REGAL 12ANOS 1L,6,Sim
80432400432,280693,WHISKY CHIVAS REGAL 12ANOS 1L,9,Sim
5000280000000,1488774,WHISKY OLD PAR 1L ,0,Sim
5000281004020,417834,WHISKY OLD PAR 1L ,9,Sim
6911,1497795,WHISKY OLD PAR 1L ,0,Sim
5000267013602,417830,WHISKY RED LABEL 1LT,7,Sim
5000270000000,1488772,WHISKY RED LABEL 1LT,0,Sim
6912,1497798,WHISKY RED LABEL 1LT,0,Sim
3052910000000,1488760,XAROPE MONIN BAUNILHA 700ML,0,Sim
3592,1273995,ZERO CAL 100ML ,0,Sim
4076623001010,1497802,ZINEBRA ALKINDA 960ML,0,Sim
4076620000000,1488768,ZINEBRA ALKINDA MEIOTA  480ML,0,Sim
76624,1497804,ZINEBRA ALKINDA MEIOTA  480ML,0,Sim
7898915906011,901055,ZINEBRA GALIA 900ML,0,Sim
